Rang,Joueur,Poste,Age,Valeur,Buts_2021,Passes_2021,Minutes_2021,Buts_2022,Passes_2022,Minutes_2022,Buts_total,Passes_total,Minutes_total
390,Nicolò Cambiaghi,Ailier Gauche,22,8.0,7,5,2822,7,2,1330,33,15,10036
391,Jorge de Frutos,Ailier Droit,26,8.0,4,7,1766,5,8,3503,32,33,15472
392,Junior Adamu,Avant-Centre,22,8.0,9,5,2066,14,6,1745,82,25,11662
393,Emmanuel Dennis,Avant-Centre,25,8.0,10,6,2644,2,3,1199,48,24,12899
394,Aaron Boupendza,Avant-Centre,27,8.0,9,5,1634,14,4,1797,64,14,10092
395,Luis Suárez,Avant-Centre,25,8.0,8,4,2899,7,6,1883,62,19,16216
396,Brenner,Avant-Centre,23,8.0,18,6,2222,1,0,537,51,11,9147
397,Javi Puado,Ailier Gauche,25,8.0,5,1,2462,9,2,2607,35,18,10389
398,Keito Nakamura,Ailier Gauche,23,8.0,12,2,1976,17,8,2910,56,19,9864
399,Riccardo Sottil,Ailier Gauche,24,8.0,4,2,1432,1,3,1185,53,25,12502
400,M'Bala Nzola,Avant-Centre,26,8.0,2,1,1131,15,3,2910,61,18,14747
401,Simon Banza,Avant-Centre,27,8.0,18,7,2793,14,10,2288,76,27,13967
402,Cyle Larin,Avant-Centre,28,8.0,8,1,2344,9,3,1833,101,31,18207
403,Anders Dreyer,Ailier Droit,25,8.0,18,8,3076,15,8,4024,103,55,19729
404,Mama Baldé,Avant-Centre,27,8.0,3,4,1770,12,4,2717,42,21,16834
405,Karl Toko Ekambi,Ailier Gauche,30,8.0,18,7,2930,9,4,2505,139,45,29689
406,Moses Simon,Ailier Gauche,28,8.0,6,8,2665,5,4,2947,65,55,24267
407,Luka Jovic,Avant-Centre,25,8.0,1,3,549,13,5,2386,73,26,12804
408,Vaclav Cerny,Ailier Droit,25,8.0,1,1,579,15,13,2971,78,60,15674
409,Sofiane Boufal,Ailier Gauche,29,8.0,8,5,2344,7,5,1655,43,35,17966
410,Federico Bernardeschi,Ailier Droit,29,8.0,10,9,3185,3,2,1868,81,47,23176
411,Arkadiusz Milik,Avant-Centre,29,8.0,20,2,2321,9,1,2252,153,38,21712
412,Andrea Belotti,Avant-Centre,29,8.0,8,1,1418,4,2,1999,162,37,31035
413,Alassane Plea,Avant-Centre,30,8.0,10,8,2156,2,13,1951,97,67,23781
414,Raúl de Tomás,Avant-Centre,28,8.0,17,3,3082,4,0,804,133,22,22554
415,Gianluca Caprari,Deuxième Attaquant,30,8.0,12,7,2757,6,2,2535,90,40,25610
416,Tecatito,Ailier Droit,30,8.0,2,5,2180,1,0,109,56,84,26344
417,Michael Gregoritsch,Avant-Centre,29,8.0,9,1,1541,15,5,2860,94,29,23677
418,Chris Wood,Avant-Centre,31,8.0,5,0,2885,4,0,1051,167,43,33156
419,Marko Livaja,Avant-Centre,29,8.0,32,7,3464,21,15,3633,126,65,26118
420,Kevin Volland,Avant-Centre,31,8.0,15,13,3730,6,3,994,169,112,40973
421,Duván Zapata,Avant-Centre,32,8.0,13,7,2313,2,5,1510,155,64,27517
422,Andrej Kramaric,Avant-Centre,32,8.0,8,11,2934,12,3,2535,205,71,31028
423,Ángel Di María,Ailier Droit,35,8.0,5,9,1912,8,7,2248,163,253,47840
424,Walid Cheddira,Avant-Centre,25,7.5,6,3,2080,22,7,3076,58,18,15098
425,Liel Abada,Ailier Droit,21,7.5,15,11,3296,13,9,2079,51,32,10806
426,Gustav Isaksen,Ailier Droit,22,7.5,8,7,3011,22,9,3473,54,29,11090
427,Alexis Vega,Ailier Gauche,25,7.5,6,7,2102,6,9,2664,47,35,15088
428,Paco Alcácer,Avant-Centre,29,7.5,5,5,999,9,10,2445,133,51,22952
429,Marvin Ducksch,Avant-Centre,29,7.5,23,11,2997,12,8,2954,199,88,28607
430,Pedro,Ailier Gauche,17,7.0,3,0,301,2,0,491,5,0,792
431,Alejo Véliz,Avant-Centre,19,7.0,8,1,2453,11,1,1792,19,2,4281
432,José Manuel López,Avant-Centre,22,7.0,9,2,2333,4,2,888,28,7,5611
433,Pablo Solari,Ailier Droit,22,7.0,15,4,3197,8,10,1631,32,21,7576
434,Matheus Martins,Ailier Gauche,20,7.0,8,6,2634,0,1,357,9,7,3380
435,Martín Satriano,Avant-Centre,22,7.0,5,1,1289,2,1,1772,22,11,5875
436,Daryl Dike,Avant-Centre,23,7.0,0,0,84,8,1,1334,39,7,6224
437,Tiago Tomás,Avant-Centre,21,7.0,7,0,1691,4,4,1592,22,10,5825
438,Matías Arezo,Avant-Centre,20,7.0,0,0,156,15,2,2134,52,16,9655
439,Lassina Traoré,Avant-Centre,22,7.0,9,0,979,6,4,1566,52,27,7232
440,Billal Brahimi,Ailier Gauche,23,7.0,0,2,875,5,2,1244,28,23,9544
441,Konstantin Tyukavin,Avant-Centre,21,7.0,9,4,1909,10,7,1834,46,24,6977
442,Sergey Pinyaev,Ailier Gauche,18,7.0,4,3,491,6,3,1694,14,14,4684
443,Jean-Philippe Mateta,Avant-Centre,26,7.0,7,1,1566,4,0,1013,83,9,13801
444,Myron Boadu,Avant-Centre,22,7.0,6,2,1446,3,0,401,62,21,10662
445,Sekou Koita,Avant-Centre,23,7.0,1,0,15,6,5,1261,43,27,6191
446,Adam Ounas,Ailier Droit,26,7.0,2,0,439,1,3,1153,27,19,8976
447,Yunus Akgün,Ailier Droit,23,7.0,9,17,2860,1,4,1180,35,37,8719
448,Maxi Gómez,Avant-Centre,27,7.0,5,2,1994,7,6,2543,89,39,20448
449,Brandon Vazquez,Avant-Centre,24,7.0,20,8,2976,11,2,1989,51,20,8706
450,Petar Musa,Avant-Centre,25,7.0,12,4,2729,11,3,1111,56,13,10441
451,Jordan,Avant-Centre,27,7.0,27,5,3166,5,3,1954,91,24,14513
452,Levi García,Avant-Centre,25,7.0,8,6,2603,18,7,2697,56,37,16586
453,Jesús Medina,Ailier Droit,26,7.0,1,2,780,11,8,2523,41,23,12809
454,Krzysztof Piatek,Avant-Centre,28,7.0,7,1,1307,4,5,2140,109,26,21191
455,Arnaud Nordin,Ailier Droit,25,7.0,6,5,2213,9,5,2481,37,15,12599
456,Manuel Benson,Ailier Droit,26,7.0,6,8,2396,14,5,1985,38,40,12593
457,Toni Martínez,Avant-Centre,26,7.0,7,0,1003,13,7,1960,77,22,12834
458,Kasper Dolberg,Avant-Centre,25,7.0,7,2,1675,2,1,720,80,25,16134
459,Nicolás Ibáñez,Avant-Centre,28,7.0,17,2,2994,23,1,3199,109,10,19477
460,Ihlas Bebou,Avant-Centre,29,7.0,7,3,2196,7,1,1503,67,46,20752
461,Arturo González,Ailier Gauche,28,7.0,5,8,2445,10,10,2684,49,30,19657
462,Yussuf Poulsen,Avant-Centre,29,7.0,7,3,1475,4,2,604,107,73,26310
463,Andy Delort,Avant-Centre,31,7.0,20,5,3044,9,1,1803,138,51,29140
464,Michail Antonio,Avant-Centre,33,7.0,13,11,3921,14,5,2820,123,84,36356
465,Thorgan Hazard,Ailier Gauche,30,7.0,6,1,1656,3,1,1103,87,96,27804
466,Danny Welbeck,Avant-Centre,32,7.0,6,3,1550,7,4,2143,92,51,25034
467,Dion Beljo,Avant-Centre,21,6.5,20,4,2936,12,5,2369,42,13,7970
468,Stipe Biuk,Ailier Gauche,20,6.5,1,3,1877,5,3,3254,9,9,5854
469,Osman Bukari,Ailier Droit,24,6.5,2,4,1042,15,10,2973,39,47,11505
470,Danilo,Avant-Centre,24,6.5,15,5,1178,14,4,2057,88,18,10338
471,Jan Thielmann,Ailier Droit,21,6.5,3,3,1490,2,5,1082,37,13,9090
472,Martín Ojeda,Ailier Gauche,24,6.5,13,14,3858,4,5,1571,39,28,12029
473,Rubén Vargas,Ailier Gauche,25,6.5,2,3,2064,3,6,1197,48,29,14493
474,Carlos Júnior,Ailier Droit,27,6.5,29,4,3350,13,2,1921,86,19,16735
475,Irfan Can Kahveci,Ailier Droit,28,6.5,4,8,1977,7,5,2323,48,47,23278
476,Paulinho,Avant-Centre,30,6.5,14,8,3568,15,12,2502,137,57,28976
477,Luca Langoni,Ailier Droit,21,6.0,7,1,1132,3,1,803,10,2,1935
478,Ernest Nuamah,Ailier Gauche,19,6.0,2,0,447,15,4,2854,21,5,3570
